country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,extent_change_2000_2010,total_tree_loss_ha_2001_2023,gain_loss_ratio,GDI,GDI_Category
0.0,2.0,0.0,8199543.0,8199543.0,8199543.0,64907.0,8855.0,7151.0,6531.0,13204.0,9015.0,10013.0,9844.0,11255.0,9255.0,6063.0,13103.0,15644.0,11284.0,16147.0,15258.0,23294.0,23546.0,14387.0,12468.0,16246.0,17710.0,17651.0,14204.0,0.0,302128.0,0.21483207504079382,0.028930999089705475,Concerning
0.0,2.0,10.0,8199543.0,6432835.0,6302553.0,64907.0,8678.0,7059.0,6453.0,13008.0,8905.0,9865.0,9649.0,11080.0,9125.0,5970.0,12584.0,14650.0,9573.0,13487.0,12754.0,19596.0,19612.0,11780.0,10040.0,13162.0,14805.0,14996.0,12061.0,-130282.0,268892.0,0.2413859788094149,0.03170996431433974,Concerning
0.0,2.0,15.0,8199543.0,6371294.0,6228242.0,64907.0,8641.0,7034.0,6432.0,12918.0,8878.0,9834.0,9619.0,11049.0,9105.0,5953.0,12534.0,14534.0,9459.0,13306.0,12584.0,19353.0,19363.0,11590.0,9855.0,12967.0,14579.0,14789.0,11889.0,-143052.0,266265.0,0.24376751068480393,0.031603936091485325,Concerning
0.0,2.0,20.0,8199543.0,6355242.0,6215927.0,64907.0,8625.0,7023.0,6424.0,12885.0,8867.0,9820.0,9602.0,11035.0,9094.0,5946.0,12497.0,14464.0,9381.0,13200.0,12494.0,19232.0,19238.0,11500.0,9762.0,12864.0,14471.0,14695.0,11810.0,-139315.0,264929.0,0.24499679160532972,0.03147354082290795,Concerning
0.0,2.0,25.0,8199543.0,6345321.0,6147654.0,64907.0,8608.0,7011.0,6413.0,12830.0,8855.0,9806.0,9586.0,11021.0,9084.0,5937.0,12471.0,14412.0,9332.0,13122.0,12433.0,19136.0,19143.0,11437.0,9695.0,12780.0,14389.0,14615.0,11751.0,-197667.0,263867.0,0.24598283990480088,0.031355382752837446,Concerning
0.0,2.0,30.0,8199543.0,6307313.0,6112509.0,64907.0,8592.0,7001.0,6404.0,12793.0,8847.0,9793.0,9572.0,11005.0,9071.0,5928.0,12445.0,14346.0,9269.0,13033.0,12346.0,18994.0,19002.0,11340.0,9599.0,12672.0,14264.0,14492.0,11656.0,-194804.0,262464.0,0.24729773493608673,0.031321890744618074,Concerning
0.0,2.0,50.0,8199543.0,6002878.0,5511731.0,64907.0,8407.0,6888.0,6297.0,12447.0,8712.0,9614.0,9393.0,10826.0,8930.0,5819.0,12129.0,13856.0,8783.0,12225.0,11596.0,17982.0,17910.0,10672.0,8958.0,11929.0,13459.0,13747.0,11066.0,-491147.0,251645.0,0.2579297902609221,0.03110807330949033,Concerning
0.0,2.0,75.0,8199543.0,5214282.0,4665671.0,64907.0,7643.0,6308.0,5785.0,11246.0,8047.0,8836.0,8660.0,9942.0,8322.0,5326.0,10996.0,12308.0,7084.0,9717.0,9258.0,14731.0,14482.0,8454.0,7059.0,9635.0,10904.0,11312.0,9168.0,-548611.0,215223.0,0.30157882020592497,0.02882774103361862,Concerning
0.0,3.0,0.0,7849232.0,7849232.0,7849232.0,163055.0,6989.0,8424.0,5689.0,13452.0,8670.0,9544.0,12698.0,16606.0,16411.0,11000.0,15240.0,18020.0,10583.0,26064.0,15324.0,29272.0,20867.0,17788.0,13376.0,22087.0,22491.0,22111.0,22013.0,0.0,364719.0,0.4470689844264093,0.025692191835813765,Concerning
0.0,3.0,10.0,7849232.0,3164948.0,3010461.0,163055.0,6772.0,8181.0,5558.0,13118.0,8434.0,9268.0,12379.0,16165.0,16102.0,10665.0,14689.0,17144.0,9422.0,23528.0,13990.0,26396.0,18828.0,15621.0,11931.0,19340.0,19939.0,19647.0,18786.0,-154487.0,335903.0,0.48542142993236165,0.05461320229804651,Concerning
